id,editionNumber,year
9046535642014,15,1999
9046536282016,62,2016
904653611989,72,2017
904653671995,26,2010
904653681996,24,2008
904653651993,24,2008
9046536152003,29,2013
9046536101998,92,2019
9046536122000,63,2016
904653661994,93,2019
904653691997,88,2018
9046536162004,89,2018
904653641992,22,2006
9046536232011,24,2008
9046536132001,56,2016
9046536252013,77,2017
9046536262014,39,2014
904653631991,86,2018
904653621990,43-44,2015
9046536212009,74,2017
9046536292017,18,2002
9046536272015,78,2018
9046536182006,78,2018
9046536142002,22,2006
9046536222010,91,2019
9046536172005,92,2019
9046536202008,26,2010
9046536302018,77,2017
9046536242012,26,2010
9046536312019,24,2008
9046536192007,86,2018
9046536111999,26,2010
90465391632019,51,2015
90465391612018,26,2010
9046539582014,86,2018
9046539992016,92,2019
90465391442018,38,2014
9046539752015,82,2018
90465391012016,85,2018
90465391652019,37,2014
90465391152017,76,2017
90465391222017,73,2017
90465391642019,79,2018
90465391172017,26,2010
9046539252012,55,2016
90465391342017,70,2017
90465391192017,68,2017
9046539432013,12,1997
9046539382013,74,2017
90465391162017,29,2013
90465391472018,20,2004
9046539212008,86,2018
9046539542013,32,2014
9046539372013,78,2018
90465391142016,86,2018
9046539892015,82,2018
9046539262012,79,2018
9046539732015,37,2014
9046539902015,18,2002
9046539862015,36,2014
90465391032016,54,2016
90465391662019,26,2010
9046539632014,15,1999
9046539812015,91,2019
90465391392018,92,2019
90465391122016,93,2019
9046539712014,80,2018
9046539172004,26,2010
9046539942016,31,2014
9046539482013,55,2016
90465391502018,17,2001
90465391062016,18,2002
9046539502013,6,1990
90465391002016,29,2013
90465391242017,93,2019
90465391092016,37,2014
9046539802015,28,2012
9046539101998,25,2009
90465391402018,28,2012
90465391482018,86,2018
9046539642014,87,2018
90465391532018,74,2017
9046539652014,27,2011
90465391112016,26,2010
90465391432018,92,2019
90465391582018,49,2015
9046539792015,34,2017
9046539592014,31,2014
90465391212017,69,2015
9046539692014,72,2016
90465391292017,65,2014
9046539762015,74,2017
90465391332017,78,2018
9046539822015,64,2014
9046539882015,28,2016
9046539442013,1,1989
9046539702014,7,1995
9046539522013,28,2016
90465391072016,8,1996
90465391592018,5,1993
9046539242011,15,2003
90465391262017,10,1998
9046539422013,15,2003
90465391252017,12,2000
9046539962016,10,1998
9046539302012,6,1994
90465391562018,9,1997
9046539232010,9,1997
9046539982016,9,1997
90465391572018,8,1996
9046539852015,7,1995
9046539872015,8,1996
90465391452018,8,1996
9046539272012,5,1993
90465391352017,16,2004
9046539222009,5,1993
90465391462018,4,1992
9046539192006,8,1996
90465391182017,9,1997
90465391202017,23,2011
9046539202007,10,1998
904654072011,8,1996
904654082012,13,2001
9046540112015,25,2013
9046541192009,10,1998
9046543332017,10,1998
9046543352018,6,1994
9046543282015,1,1989
9046543322017,10,1998
9046543342018,5,1993
9046543312016,4,1992
9046543142003,10,1998
9046543272014,9,1997
904654361998,25,2013
9046543302016,8,1996
9046543262014,5,1993
9046543122002,8,1996
904654311993,8,1996
9046543182007,10,1998
9046543192008,26,2014
904654321994,5,1993
9046543362019,5,1993
9046543202009,3,1991
9046543292015,7,1995
9046543232012,10,1998
9046543112001,9,1997
9046543252013,2,1990
9046545512007,5,1993
9046545532009,9,1997
9046545542010,6,1994
9046545552011,7,1995
9046545562012,10,1998
9046545572013,2,1990
90465451042016,9,1997
9046545742014,10,1998
9046545532008,1,1989
9046545522008,25,2013
9046545692014,8,1996
9046545932016,7,1995
90465451262018,26,2014
90465451092017,21,2009
9046545782014,3,1991
9046545842015,9,1997
90465451192018,1,1989
9046547162018,1,1989
904654662008,15,2003
904654632005,10,1998
904654622004,5,1993
904654920072007,6,1994
904654920142014,4,1992
904655012012,6,1994
904655042015,8,1996
904655252007,2,1990
904655292011,3,1991
9046552152017,10,1998
9046552142016,9,1997
904655222004,29,2017
904655282010,7,1995
9046552162018,29,2017
904655262008,4,1992
9046552122014,6,1994
9046552112013,27,2015
904655272009,8,1996
9046552102012,10,1998
9046554182009,7,1995
9046554232014,10,1998
9046554222013,10,1998
9046554272018,3,1991
904655492000,26,2014
9046554202011,2,1990
9046554122003,7,1995
9046554102001,3,1991
9046554212012,7,1995
9046554172008,7,1995
9046554132004,5,1993
9046555132016,26,2014
9046555142017,28,2016
9046555102013,8,1996
9046556262018,27,2015
9046556212013,8,1996
9046556222014,9,1997
904655732013,1,1989
904655842017,10,1998
904655822015,26,2014
9046560102017,3,1991
904656012008,5,1993
904656022009,7,1995
904656032010,1,1989
904656042011,9,1997
904656082015,6,1994
9046560112018,7,1995
904656142014,23,2011
904656272019,5,1993
904656262018,2,1990
904656232015,3,1991
904656252017,10,1998
904656242016,26,2014
904656212013,18,2006
904656222014,9,1997
904656462016,6,1994
904656472017,5,1993
9046565162007,9,1997
9046565202011,9,1997
9046565152006,4,1992
9046566452009,6,1994
9046566331997,25,2013
9046566351999,8,1996
9046566762017,6,1994
9046566191983,14,2002
9046566962018,9,1997
9046566412005,5,1993
9046566602015,22,2010
9046566472011,4,1992
9046566492013,2,1990
9046566882018,7,1995
9046566972018,2,1990
9046566462010,25,2013
9046566422006,7,1995
9046566622015,9,1997
9046566912018,5,1993
9046566812017,5,1993
9046566982018,10,1998
9046566572015,3,1991
9046566542015,6,1994
9046566782017,8,1996
9046566301994,9,1997
9046566992019,9,1997
9046566382002,21,2009
9046566842017,29,2017
90465661002019,6,1994
9046566932018,5,1993
9046566502014,3,1991
9046566872018,27,2015
9046566582015,9,1997
9046566442008,23,2011
9046566362000,5,1993
9046566632016,10,1998
9046566281992,9,1997
9046566432007,7,1995
9046566372001,5,1993
9046566792017,7,1995
9046566902018,17,2005
9046566271991,13,2001
9046566321996,5,1993
9046566482012,29,2017
9046566952018,7,1995
9046566261990,6,1994
9046566221986,4,1992
9046566852017,10,1998
904656732012,1,1989
904656952012,26,2014
904656932011,5,1993
9046572472017,20,2008
9046572452015,10,1998
9046572442014,8,1996
9046573102015,9,1997
904657322007,8,1996
904657362011,3,1991
9046573122017,7,1995
904657312006,8,1996
9046573132018,7,1995
904657372012,8,1996
904657332008,4,1992
904657342009,6,1994
9046573142019,30,2018
904657352010,10,1998
9046573112016,8,1996
904657392014,16,2004
904657382013,6,1994
904657632009,25,2013
9046578182017,10,1998
9046578192018,1,1989
9046577132012,7,1995
9046578162015,7,1995
9046577142013,10,1998
9046578172016,4,1992
9046577112010,7,1995
9046577122011,13,2001
9046577152014,4,1992
9046578202019,6,1994
9046582902017,30,2018
9046582672005,1,1989
9046580441988,10,1998
9046580421988,3,1991
9046580261984,9,1997
9046580431988,10,1998
9046580251984,10,1998
90465821002018,6,1994
9046580211983,3,1991
90465821012019,7,1995
9046582652003,4,1992
9046582682006,10,1998
9046582632001,6,1994
9046580281984,6,1994
9046579201982,6,1994
9046582762014,26,2014
9046582702008,6,1994
9046580511990,5,1993
9046581571995,5,1993
9046582932017,27,2015
9046582622000,8,1996
9046579191982,2,1990
9046580521990,7,1995
9046580221983,6,1994
9046582662004,5,1993
904657931974,30,2018
904658412007,7,1995
904658442011,2,1990
9046586122012,10,1998
9046586172017,9,1997
9046586162016,9,1997
9046586132013,26,2014
9046586182018,5,1993
9046586152015,30,2018
9046586192019,7,1995
9046587112016,5,1993
904658732008,5,1993
9046588122016,7,1995
904658822005,22,2010
904658892012,8,1996
9046588142017,24,2012
9046588152018,8,1996
9046588112014,5,1993
9046588152019,8,1996
9046588122015,3,1991
904658872010,8,1996
904658812004,2,1990
9046588102013,1,1989
9046589122016,8,1996
904659621992,1,1989
9046597632012,12,2000
9046597452006,29,2017
9046597732015,28,2016
9046598232013,1,1989
9046598272017,5,1993
904659851995,6,1994
9046598282018,31,2019
9046598122002,4,1992
9046598142004,5,1993
9046598172007,8,1996
9046598262016,6,1994
9046598112001,8,1996
9046598222012,29,2017
904659821992,4,1992
9046598192009,10,1998
9046598162006,5,1993
9046598252015,7,1995
9046600112002,5,1993
9046600192010,26,2014
9046600252016,10,1998
9046600202011,20,2008
9046600272018,8,1996
9046600262017,6,1994
9046600282019,3,1991
9046600222013,28,2016
9046600242015,9,1997
9046600212012,7,1995
9046600232014,6,1994
904660091999,12,2000
904660081998,9,1997
9046601182001,5,1993
9046601222003,21,2009
904660181996,9,1997
9046601111997,9,1997
904660220142014,10,1998
904660220162016,5,1993
904660220172017,8,1996
904660220152015,1,1989
904660312008,5,1993
904660372013,10,1998
904660322009,7,1995
904660342010,26,2014
904660332009,21,2009
904660362012,6,1994
9046605332016,8,1996
9046605312014,6,1994
90466082682014,26,2014
90466083442017,12,2000
90466082762014,9,1997
90466082312012,3,1991
90466082282009,28,2016
90466082352013,29,2017
90466082422013,16,2004
90466083002015,3,1991
90466082232007,7,1995
90466083332017,9,1997
90466083642018,7,1995
90466083762019,6,1994
90466082432013,2,1990
90466082342013,14,2002
90466083072016,30,2018
90466082292010,23,2011
90466082412013,29,2017
90466082302011,4,1992
90466083742018,24,2012
90466082802015,10,1998
90466083232016,2,1990
90466083212016,16,2004
90466083302017,29,2017
90466082322013,13,2001
90466082822015,3,1991
90466083502017,9,1997
90466082272008,24,2012
90466083712018,3,1991
90466083782019,4,1992
904660932011,30,2018
904661022018,3,1991
904661012017,27,2015
9046611161995,9,1997
9046611141993,25,2013
9046611362014,25,2013
9046611181997,4,1992
9046611131992,6,1994
9046611382016,17,2005
9046611402018,9,1997
9046611201999,6,1994
9046611312009,8,1996
9046611242002,8,1996
9046611111990,30,2018
9046611302007,5,1993
9046611342012,5,1993
9046611302008,5,1993
9046611392017,2,1990
9046611372015,27,2015
9046611121991,19,2007
9046612451999,7,1995
904661382015,4,1992
904661352012,7,1995
904661372014,9,1997
904661472018,29,2017
904661462017,1,1989
904661612011,16,2004
9046617212017,6,1994
9046617182014,7,1995
9046617172013,2,1990
9046617222018,9,1997
9046617132009,10,1998
9046617162012,7,1995
904661812009,5,1993
904661872015,20,2008
904661852013,4,1992
904661832011,7,1995
904661892017,28,2016
9046619212006,3,1991
9046619131998,2,1990
9046619242009,17,2005
9046619232008,4,1992
9046619282013,9,1997
9046619192004,14,2002
9046619322017,7,1995
9046619272012,8,1996
9046619172002,2,1990
9046619141999,5,1993
9046619162001,4,1992
9046619202005,26,2014
9046619312016,9,1997
9046619292014,4,1992
9046619332018,10,1998
9046619101995,4,1992
9046619182003,10,1998
9046619121997,6,1994
9046619222007,30,2018
9046619302015,6,1994
9046619152000,6,1994
9046619252010,4,1992
904661991994,15,2003
904661981993,6,1994
9046619111996,16,2004
9046619262011,29,2017
9046619342019,19,2007
9046620122018,10,1998
904662052011,8,1996
9046620102016,7,1995
904662092015,5,1993
9046621232006,7,1995
90466221021995,4,1992
904662452007,5,1993
9046624112013,9,1997
904662412003,3,1991
9046624152017,4,1992
9046624102012,5,1993
904662472009,8,1996
9046627202016,6,1994
904662731999,9,1997
9046627112007,3,1991
9046627212017,18,2006
904662782004,20,2008
904662742000,4,1992
9046627162012,19,2007
904662711997,7,1995
9046627142010,5,1993
9046627152011,10,1998
9046627102006,8,1996
9046627232019,2,1990
9046627132009,7,1995
904662762002,9,1997
904662792005,5,1993
9046627222018,27,2015
904662842015,7,1995
9046629132014,26,2014
904662932004,5,1993
904662982009,8,1996
9046629122013,29,2017
904662972008,11,1999
9046629172018,9,1997
9046629182019,23,2011
904662952006,5,1993
904662942005,9,1997
904663052009,9,1997
904663012005,5,1993
904663062010,14,2002
904663082012,9,1997
904663022006,1,1989
904663042008,19,2007
904663282015,5,1993
904663212008,27,2015
904663272014,6,1994
9046632112018,4,1992
904663222009,14,2002
904663262013,27,2015
904663242011,11,1999
9046632122019,28,2016
9046632102017,25,2013
904663232010,10,1998
904663292016,23,2011
9046633472004,10,1998
9046635272016,8,1996
9046636122001,8,1996
904663691998,8,1996
9046635252014,5,1993
9046635292018,5,1993
904663641993,3,1991
904663661995,4,1992
9046635282017,4,1992
9046635262015,4,1992
9046636212010,30,2018
9046636132002,6,1994
9046636192008,6,1994
9046636172006,24,2012
9046635232012,7,1995
9046636162005,6,1994
9046635242013,6,1994
9046636182007,4,1992
9046635302019,1,1989
904663681997,5,1993
9046636222011,1,1989
904663671996,1,1989
9046636152004,16,2004
9046636142003,5,1993
9046636202009,9,1997
904663631992,5,1993
904663651994,9,1997
9046639261992,6,1994
9046638432009,5,1993
904664132010,1,1989
904664122009,17,2005
904664142011,18,2006
904664162013,3,1991
904664192016,21,2009
904664172014,10,1998
904664112008,8,1996
9046643112003,9,1997
904664382000,22,2010
9046643122004,6,1994
9046643102002,23,2011
9046643162008,8,1996
904664420152015,9,1997
904664420142014,16,2004
904664420172017,9,1997
904664420162016,9,1997
9046650222018,6,1994
9046650182014,2,1990
9046650212017,19,2007
9046649142010,18,2006
9046649152011,30,2018
904664992005,3,1991
9046649112007,9,1997
9046650172013,10,1998
904664911997,3,1991
9046650202016,10,1998
9046650192015,5,1993
9046649132009,1,1989
9046649162012,8,1996
9046654202017,2,1990
9046655152012,17,2005
9046655102007,6,1994
9046655112008,4,1992
9046656112017,10,1998
904665692015,4,1992
904665632009,18,2006
9046656122018,28,2016
904665622008,3,1991
9046656102016,6,1994
904665642010,4,1992
904665612007,8,1996
904665682014,23,2011
9046657182007,7,1995
9046657252014,8,1996
904665820182018,10,1998
9046658152015,9,1997
904665882008,7,1995
9046658102010,10,1998
904665872007,4,1992
9046658162016,1,1989
904665820172017,6,1994
904665842004,7,1995
904665852005,7,1995
904665892009,14,2002
9046658142014,5,1993
904665812001,7,1995
9046658112011,28,2016
904665832003,3,1991
904665820192019,4,1992
904665862006,8,1996
9046658122012,30,2018
904665822002,1,1989
9046658132013,23,2011
9046659142018,8,1996
904665972011,10,1998
9046659102014,3,1991
904665962010,6,1994
904665982012,5,1993
9046659122016,9,1997
904665932007,7,1995
904665952009,6,1994
9046659132017,9,1997
904665922006,5,1993
9046660101998,2,1990
904666091997,24,2012
9046663142017,1,1989
904666382011,3,1991
9046663132016,18,2006
9046663102013,3,1991
9046663122015,16,2004
904666362009,8,1996
9046663112014,5,1993
9046663152018,3,1991
904666372010,9,1997
904666312004,22,2010
904666392012,9,1997
904666572017,10,1998
904666620122012,29,2017
90466671682017,5,1993
90466671832019,11,1999
90466671812019,2,1990
9046667952010,5,1993
90466671672017,9,1997
90466671712018,9,1997
9046667742001,15,2003
9046667912006,7,1995
90466671802018,7,1995
90466671662017,27,2015
90466671562016,30,2018
90466671612017,4,1992
90466671752018,10,1998
90466671522016,6,1994
90466671822019,8,1996
90466671572017,2,1990
90466671272014,26,2014
90466671592017,10,1998
9046667752002,12,2000
90466671602017,6,1994
9046667922007,27,2015
90466671692018,15,2003
90466671762018,7,1995
90466671792018,1,1989
9046668102007,5,1993
9046668122009,28,2016
9046668192016,6,1994
9046668142011,24,2012
904666852002,4,1992
9046668162013,8,1996
9046668202017,3,1991
9046668172014,3,1991
904666892006,6,1994
9046668182015,9,1997
904666811998,16,2004
9046668132010,29,2017
904666872004,16,2004
904666882005,6,1994
9046668152012,6,1994
904666842001,6,1994
904666832000,7,1995
9046670142003,8,1996
9046670222011,5,1993
9046670262015,6,1994
9046672562005,7,1995
9046672682017,9,1997
9046672602009,9,1997
9046672572006,5,1993
9046672632012,3,1991
9046672662015,5,1993
9046672612010,12,2000
9046672652014,7,1995
9046672642013,14,2002
9046672622011,3,1991
9046672592008,2,1990
904667492012,10,1998
904667472010,1,1989
904667482011,6,1994
9046674132016,25,2013
9046674122015,10,1998
9046674142017,6,1994
9046675182015,3,1991
9046675142011,1,1989
9046677211996,8,1996
9046677692012,8,1996
9046677452004,4,1992
9046677882018,8,1996
904667832012,2,1990
904667812010,8,1996
904668082012,10,1998
904668092013,6,1994
9046680112015,3,1991
9046680132017,1,1989
9046680102014,25,2013
9046680122016,24,2012
904668052009,8,1996
904668042008,12,2000
904668032007,6,1994
904668072011,9,1997
904668012005,2,1990
904668062010,13,2001
904668022006,7,1995
9046682112012,2,1990
9046682172018,10,1998
9046682142015,28,2016
9046682152016,1,1989
9046683291998,3,1991
9046683482017,3,1991
9046683352004,7,1995
9046683281997,11,1999
9046683402009,7,1995
9046683342003,6,1994
904668652011,18,2006
9046686102016,10,1998
904668692015,5,1993
904668662012,29,2017
90466871492002,7,1995
904668682014,8,1996
904668622008,5,1993
9046686112017,8,1996
90466891472007,8,1996
9046690112004,4,1992
9046691132008,6,1994
904669161998,5,1993
904669111994,6,1994
9046691232017,8,1996
9046691222016,10,1998
904669131995,1,1989
9046691102005,9,1997
9046691192013,8,1996
904669192003,8,1996
9046691182012,18,2006
904669171999,5,1993
9046691152009,8,1996
904669111993,9,1997
9046691142008,7,1995
904669151997,16,2004
9046691212015,9,1997
9046691172011,14,2002
9046691112006,1,1989
9046691202014,7,1995
9046691242018,8,1996
9046691252019,26,2014
904669182003,3,1991
904669212008,4,1992
9046692102017,8,1996
904669282015,7,1995
904669252012,5,1993
904669272014,1,1989
9046692112018,28,2016
9046693172011,7,1995
904669382002,8,1996
904669311995,10,1998
904669341998,6,1994
9046694162016,28,2016
90466951812010,30,2018
90466951832012,6,1994
90466952342019,10,1998
90466951802009,5,1993
90466951612004,3,1991
90466951822011,1,1989
90466951842013,6,1994
90466952052016,7,1995
90466951852014,10,1998
90466952042016,27,2015
90466951862015,30,2018
90466951902015,22,2010
90466952192017,5,1993
90466952152017,4,1992
90466952002016,8,1996
90466952112017,21,2009
90466952202017,1,1989
90466952272018,3,1991
9046696382004,10,1998
9046696331999,6,1994
9046696231989,8,1996
9046696261992,1,1989
9046696422008,5,1993
9046696462012,5,1993
9046696432009,18,2006
9046696372003,14,2002
9046696301996,9,1997
9046696392005,9,1997
9046697112018,18,2006
904669782015,25,2013
9046697102017,10,1998
904669792016,9,1997
9046697122019,7,1995
9046698722012,5,1993
9046698191993,4,1992
9046698712011,8,1996
9046698662006,6,1994
9046698622002,4,1992
9046698612001,8,1996
90466981072017,7,1995
9046698682008,9,1997
9046698642004,10,1998
9046698962016,28,2016
9046698652005,28,2016
9046698672007,2,1990
9046698251995,6,1994
9046698752015,8,1996
9046698862015,18,2006
9046698602000,2,1990
9046698742014,5,1993
9046698632003,9,1997
90466981092017,7,1995
9046698732013,10,1998
9046698702010,1,1989
90466981122018,1,1989
9046698491998,9,1997
9046698581999,4,1992
90466981252019,4,1992
9046698121991,8,1996
9046698852015,2,1990
90466981182018,23,2011
9046698541998,6,1994
90466981172018,5,1993
904669811984,7,1995
9046698471997,3,1991
9046698131991,5,1993
904669891990,22,2010
90466981242019,5,1993
90466981022017,5,1993
9046698481998,29,2017
90466981212018,7,1995
9046698401997,27,2015
9046698692009,27,2015
90466981032017,8,1996
9046698221994,2,1990
9046698772015,6,1994
90466981042017,30,2018
90466981232019,3,1991
904669841987,26,2014
90466981192018,7,1995
9046698271995,5,1993
9046698431997,3,1991
9046698261995,9,1997
9046699262013,8,1996
9046699462015,2,1990
9046699182005,8,1996
9046699682018,10,1998
9046699242011,8,1996
9046699392015,6,1994
9046699372015,6,1994
9046699412015,24,2012
9046699232010,7,1995
9046699202007,2,1990
9046699252012,8,1996
9046699442015,8,1996
9046699712018,9,1997
9046699472016,15,2003
9046699222009,1,1989
9046699642017,8,1996
9046699312014,4,1992
9046699652017,8,1996
9046699762018,25,2013
9046699272014,24,2012
9046699602017,8,1996
9046699502016,27,2015
9046699172004,4,1992
9046699322014,23,2011
9046699622017,5,1993
9046699752018,20,2008
9046699352014,3,1991
9046699782019,19,2007
9046699672018,4,1992
9046699582017,7,1995
9046699692018,1,1989
9046699212008,26,2014
9046699722018,9,1997
9046699292014,1,1989
9046699482016,5,1993
9046699702018,7,1995
9046701102019,9,1997
904670182017,3,1991
9046702842018,22,2010
9046702782017,5,1993
9046702642016,7,1995
9046702512011,6,1994
9046702522012,16,2004
9046702702017,4,1992
904670288-902018,3,1991
9046702732017,5,1993
9046702552015,3,1991
9046702822018,3,1991
9046702802018,6,1994
9046702682017,30,2018
9046702542014,10,1998
9046702472007,9,1997
9046702712017,13,2001
9046702652016,2,1990
9046702572016,21,2009
9046702632016,7,1995
9046702462006,4,1992
9046702442004,26,2014
9046702532013,6,1994
904670276-772017,9,1997
9046702502010,1,1989
9046702752017,6,1994
9046702492009,25,2013
9046702482008,1,1989
9046702602016,27,2015
9046702812018,3,1991
9046702872018,5,1993
9046702662016,1,1989
9046702852018,19,2007
9046702622016,8,1996
9046702452005,5,1993
9046702722017,9,1997
9046705322015,3,1991
9046705282011,23,2011
9046705242007,6,1994
9046705302013,26,2014
9046705272010,6,1994
9046705352018,5,1993
9046705342017,7,1995
9046705332016,4,1992
9046705292012,7,1995
9046707252012,7,1995
9046707282015,9,1997
9046707222009,6,1994
904670822015,8,1996
904671142012,5,1993
904671220162016,10,1998
904671220142014,5,1993
904671220172017,5,1993
904671220152015,6,1994
904671220112011,163,2019
904671220182018,161,2018
904671220192019,58,2014
90467131002017,99,2016
9046713512011,144,2018
9046713302001,75,2015
9046713452008,101,2016
9046713562013,165,2019
9046713432007,115,2017
9046713502011,122,2017
9046713952017,164,2019
9046713422006,117,2017
9046713792015,163,2019
9046713692015,25,2012
90467131112018,134,2017
9046713542012,119,2017
9046713672014,165,2019
9046713742015,43,2013
9046713762015,38,2013
9046713462008,116,2017
90467131072018,164,2019
90467131152018,147,2018
9046713872016,21,2008
9046713462009,54,2013
9046713502010,37,2013
9046713482009,114,2016
90467131092018,89,2015
9046715312016,26,2012
9046715362018,101,2016
9046715132007,73,2015
9046715322016,90,2015
9046715372019,86,2015
9046715282014,103,2016
9046715302015,166,2019
9046715142007,63,2014
9046715262013,81,2015
9046715342017,119,2017
9046720222014,139,2018
9046720202014,112,2016
9046720242015,71,2014
9046720182013,17,2004
904672092010,163,2019
904672012005,147,2018
9046720402018,94,2016
9046720192013,48,2013
9046720322016,150,2018
904672032007,58,2014
9046720212014,106,2016
9046720432019,50,2013
904672052008,100,2016
904672022006,124,2017
9046720152012,109,2016
9046720252015,80,2015
9046720382017,10,1998
9046720122011,140,2018
9046721282004,148,2018
9046722202016,64,2014
904672242000,153,2018
9046722152011,81,2015
9046722172013,65,2014
9046722222018,111,2016
904672352010,21,2008
904672542001,143,2018
9046725112008,112,2016
9046725102007,86,2015
904672592006,158,2018
904672511998,99,2016
904672582005,163,2019
9046724202017,79,2015
904672521999,59,2014
904672562003,121,2017
904672552002,69,2014
9046725102008,129,2017
9046725122008,76,2015
9046725132010,164,2019
9046725172014,80,2015
904672642010,133,2017
9046726122018,82,2015
904672652011,88,2015
904672692015,44,2013
904672672013,70,2014
904672632009,52,2013
904672662012,107,2016
904672742018,159,2018
904672712015,24,2011
9046729612006,126,2017
9046729702015,42,2013
9046729732018,161,2018
9046729642009,125,2017
9046729632008,96,2016
9046729622007,70,2014
9046729541999,30,2012
9046729722017,156,2018
9046731302018,111,2016
904673232002,43,2013
904673272006,117,2017
904673352014,80,2015
9046735192016,165,2019
9046735302018,106,2016
9046736102002,23,2010
9046736152007,79,2015
9046736122004,98,2016
904673692001,163,2019
904673661998,106,2016
9046736162008,157,2018
9046736202012,119,2017
904673631995,85,2015
9046736182010,87,2015
9046736172009,145,2018
9046736222014,133,2017
9046736132005,161,2018
9046736142006,27,2012
9046736252017,166,2019
9046736242016,85,2015
9046736232015,88,2015
904673611993,82,2015
9046736212013,145,2018
9046736262018,27,2012
9046736112003,17,2004
9046736272019,37,2013
9046736192011,85,2015
904673621994,98,2016
904673671999,99,2016
904673682000,107,2016
904673651997,135,2017
904673641996,54,2013
9046737302018,22,2009
9046737262014,54,2013
9046737292017,153,2018
9046737282016,146,2018
904674172002,25,2012
9046741102005,19,2006
904674162001,118,2017
904674252011,76,2015
9046743312014,120,2017
9046743362019,117,2017
904674361989,20,2007
9046743282011,7,2011
9046743302013,8,2012
9046743222005,11,2015
9046743352018,19,2009
904674381991,33,2017
904674391992,35,2018
904674371990,28,2015
9046744112015,32,2017
9046745302013,34,2018
9046745342017,33,2017
9046745262009,31,2016
9046745322015,35,2018
9046745352018,34,2018
9046745272010,14,2003
904674782014,31,2016
9046747102016,31,2016
9046747122018,31,2016
904674762012,31,2016
9046747132019,35,2018
9046747112017,33,2017
904674792015,27,2014
904674772013,6,1998
904674752011,32,2017
904674922009,32,2017
904674962013,31,2016
904674942011,35,2018
904674982015,27,2014
904674952012,35,2018
9046750582003,35,2018
9046750682008,35,2018
9046750752012,35,2018
9046750732011,28,2015
9046750512000,30,2016
904675491997,34,2018
904675554-I2007,32,2017
904675557-II2010,34,2018
904675562-II2015,33,2017
904675551-I2004,27,2014
904675560-II2013,35,2018
904675563-I2016,26,2014
904675558-II2011,33,2017
904675558-I2011,31,2016
904675556-I2009,31,2016
904675561-I2014,12,2002
904675557-I2010,28,2015
904675564-II2017,35,2018
904675566-I2019,35,2018
904675560-I2013,31,2016
904675555-II2008,31,2016
904675559-II2012,33,2017
904675562-I2015,26,2014
904675565-II2018,35,2018
904675565-I2018,32,2017
904675552-II2005,35,2018
904675553-I2006,35,2018
904675564-I2017,1,1993
904675554-II2007,18,2007
904675563-II2016,19,2008
904675559-I2012,2,1994
904675552-I2005,33,2017
904675553-II2006,33,2017
904675556-II2009,31,2016
904675672013,36,2019
904675632009,31,2016
904675612007,18,2007
904675642010,33,2017
904675622008,34,2018
904675652011,32,2017
9046756122018,34,2018
904675682014,27,2014
9046757102003,30,2016
9046758312011,27,2014
904675962012,27,2014
904675922008,35,2018
904675942010,33,2017
9046760172003,28,2015
9046760322018,20,2009
9046760292015,31,2016
9046760272013,32,2017
9046760312017,31,2016
9046760282014,36,2019
9046760252011,30,2016
9046760232009,35,2018
904676122004,30,2016
904676142007,33,2017
904676322011,32,2017
904676312010,35,2018
9046764112017,29,2015
904676531996,32,2017
9046765132006,28,2015
9046765252018,32,2017
9046765232016,31,2016
9046765162009,23,2012
90467652005,35,2018
