Paper,JournalVolume
1240251,9047471192017
1240284,9047471202018
1240424,9047471142012
1240512,9047471192017
1240515,9047471152013
1240554,9047471172015
1240728,904747212016
1240742,904747222017
1240754,904747232018
1240762,904747212016
1240787,904747232018
1240801,904747222017
1240809,904747222017
1240817,904747222017
1240826,904747222017
1240838,904747212016
1240846,904747232018
1240892,904747322015
1240900,904747322015
1240933,9047475112014
1240977,9047475222016
1241014,904747552008
1241049,904747532006
1241080,9047475182015
1241104,904747582011
1241113,904747582011
1241114,9047475112014
1241183,9047475122014
1241190,9047475182015
1241211,9047475112014
1241311,904747572010
1241328,9047475232017
1241360,9047475312019
1241378,9047475312019
1241449,904747692018
1241450,904747692018
1241464,904747652014
1241466,904747652013
1241469,904747662015
1241479,9047476102019
1241485,904747682017
1241488,904747622011
1241494,904747682017
1241509,904747682017
1241551,904747662015
1241568,904747682017
1241569,904747672016
1241570,904747672016
1241586,904747682017
1241594,904747672015
1241606,904747622011
1241615,904747672015
1241622,904747682017
1241638,904747652013
1241660,904747692018
1241676,904747632012
1241684,904747692017
1241696,904747632012
1241709,904747692017
1241734,904747672016
1241768,904747622011
1241770,904747662015
1241777,904747652014
1241780,904747632012
1241783,904747692017
1241791,904747692018
1241794,904747682017
1241796,904747672016
1241797,904747682017
1241816,904747622011
1241836,904747692018
1241850,904747672016
1241873,904747632012
1241906,904747662015
1241908,904747662015
1241926,904747672016
1241927,9047476102019
1241936,904747682017
1241939,904747672016
1241943,904747672016
1242654,9047479262014
1242711,9047480172005
1242749,9047480172005
1242763,9047479262014
1242787,9047480192007
1242828,9047479252013
1243088,9047479242012
1243103,9047479302018
1243221,904748071995
1243250,9047479252013
1243301,904748091997
1243387,9047479242012
1243452,9047480132001
1243482,9047480222010
1243588,9047482102017
1243619,904748252008
1243640,904748232005
1243662,904748262009
1243693,904748262009
1243697,9047482132019
1243712,904748232005
1243723,904748242006
1243724,904748262010
1243747,904748282015
1243749,904748262009
1243753,904748272014
1243756,904748252007
1243762,904748292016
1243763,904748212004
1243764,904748252008
1243789,904748232005
1243814,904748212004
1243843,904748262009
1243858,9047482102017
1243864,904748252008
1243898,9047482112018
1243908,904748252007
1243939,904748292016
1243970,904748262009
1243978,904748252007
1244007,904748352012
1244009,904748392016
1244045,904748320182018
1244057,904748392016
1244130,904748320182018
1244160,904748320182018
1244168,904748372014
1244213,904748342011
1244247,904748320182018
1244253,904748382015
1244319,904748382015
1244353,904748362013
1244391,904748362013
1244403,904748382015
1244411,904748312008
1244494,904748382015
1244537,904748362013
1244541,904748322009
1244599,904748392016
1244600,904748392016
1244706,904748372014
1244722,904748320182018
1244745,904748362013
1244775,904748320182018
1244811,904748362013
1244813,904748342011
1244820,904748392016
1244824,904748320182018
1244843,904748382015
1244883,904748372014
1244895,904748312008
1244909,904748392016
1244963,904748332010
1244980,904748382015
1244985,904748362013
1244987,904748352012
1245004,904748352012
1245005,904748332010
1245011,904748382015
1245043,904748382015
1245059,904748320182018
1245070,904748372014
1245079,904748392016
1245106,904748382015
1245109,904748392016
1245162,904748312008
1245216,904748320172017
1245264,904748322009
1245296,904748342011
1245320,904748320182018
1245328,904748362013
1245345,904748382015
1245361,904748392016
1245384,904748392016
1245396,904748320172017
1245400,904748320172017
1245441,904748362013
1245444,904748392016
1245481,904748392016
1245505,904748320182018
1245553,904748382015
1245573,904748320182018
1245575,904748382015
1245628,904748382015
1245689,904748352012
1245691,904748352012
1245702,904748320172017
1245723,904748372014
1245747,904748322009
1245748,904748382015
1245757,904748382015
1245761,904748362013
1245772,904748382015
1245895,904748312008
1245906,904748322009
1245916,904748392016
1245941,904748382015
1245942,904748320172017
1245961,904748320172017
1245962,904748372014
1245963,904748320182018
1245996,904748392016
1246343,9047484322006
1246523,9047484332007
1247234,9047484352009
1247558,9047484392013
1247937,9047485212011
1248259,9047485232013
1248268,9047485212011
1248297,9047485252015
1248478,9047486342016
1248489,9047486522019
1248515,9047486282016
1248526,9047486152011
1248528,9047486142010
1248542,9047486412017
1248557,9047486342016
1248590,9047486412017
1248626,9047486502018
1248634,9047486372017
1248709,9047486432018
1248726,904748672003
1248746,9047486322016
1248747,9047486142010
1248786,9047486182014
1248838,9047486372017
1248840,9047486232015
1248846,9047486472018
1248858,9047486182014
1248920,9047486122008
1248921,9047486362017
1248933,9047486162012
1248954,9047486432018
1248959,9047486172013
1248967,9047486102006
1249024,9047486262015
1249061,9047486172013
1249118,9047486262015
1249140,9047486182014
1249144,9047486442018
1249147,9047486162012
1249204,9047486242015
1249211,9047486472018
1249223,9047486382017
1249237,9047486512019
1249242,9047486162012
1249247,9047486362017
1249325,9047486102006
1249350,9047486452018
1249445,9047486162012
1249453,9047486322016
1249463,9047486182014
1249482,9047486432018
1249483,9047486182014
1249498,9047486422017
1249517,9047486352017
1249521,9047486132009
1249548,9047486162012
1249556,9047486182014
1249565,9047486332016
1249574,9047486352017
1249594,9047486182014
1249660,9047486202015
1249672,9047486182014
1249674,9047486492018
1249676,9047486132009
1249691,9047486462018
1249772,9047486342016
1249804,9047486522019
1249834,9047486122008
1249843,9047486132009
1249844,9047486162012
1249858,904748682004
1249873,9047486182014
1249912,9047486252015
1249938,9047486162012
1249941,9047486362017
1250075,9047487152007
1250162,9047487132005
1250696,9047488372013
1250916,9047488292005
1250988,9047488412017
1251515,9047488302006
1251767,9047489612012
1251874,9047489672018
1251901,9047489522003
1251914,9047489542005
1251927,9047489542005
1251936,9047489522003
1252043,9047489662017
1252284,9047489652016
1252330,9047489572008
1252336,9047489642015
1252494,9047489642015
1252599,9047489672018
1252672,9047489542005
1252718,9047489602011
1252749,9047489592010
1252802,9047489622013
1252820,9047489542005
1252963,9047489652016
1252980,9047489612012
1253014,9047489642015
1253273,9047489582009
1253496,904749272016
1253507,904749292018
1253629,904749362018
1253639,904749322014
1253647,904749332015
1253671,904749312013
1253674,904749312013
1253687,904749352017
1253688,904749342016
1253693,904749362018
1253703,904749332015
1253728,904749352017
1253733,904749322014
1253735,904749362018
1253740,904749322014
1253748,904749322014
1253753,904749332015
1253758,904749332015
1253762,904749322014
1253780,904749312013
1253782,904749342016
1253806,904749312013
1253808,904749352017
1253810,904749322014
1253826,904749362018
1253831,904749332015
1253837,904749312013
1253856,904749332015
1253862,904749322014
1253980,904749422004
1254181,9047494122014
1254189,9047494102012
1254203,9047494142016
1254229,904749552001
1254261,9047495212017
1254368,9047495192015
1254378,9047495172013
1254680,9047495202016
1254744,9047495202016
1254764,9047495152011
1254932,9047497242006
1254934,9047497252007
1254939,904749751987
1254956,9047497322014
1254998,9047497262008
1255001,9047497332015
1255003,9047497332015
1255023,9047497302012
1255027,9047497332015
1255031,9047497342016
1255048,9047497342016
1255076,9047497342016
1255077,9047497242006
1255086,9047497332015
1255102,9047497302012
1255115,9047497222004
1255133,9047497192001
1255169,9047497342016
1255185,9047497141996
1255201,9047497312013
1255206,9047497312013
1255226,9047497292011
1255255,9047497302012
1255272,9047497352017
1255274,9047497352017
1255284,9047497312013
1255292,9047497161998
1255344,9047497101992
1255349,9047497342016
1255353,9047497262008
1255358,9047497171999
1255393,9047497252007
1255409,9047497252007
1255417,9047497232005
1255425,9047497282010
1255436,9047497362018
1255437,9047497342016
1255499,9047497312013
1255501,9047497192001
1255519,9047497312013
1255527,9047497342016
1255580,9047497192001
1255601,9047497362018
1255609,9047497352017
1255640,9047497111993
1255666,9047497302012
1255674,9047497312013
1255680,9047497302012
1255724,9047497212003
1255766,9047497332015
1255773,9047497242006
1255781,9047497171999
1255782,9047497342016
1255798,9047497252007
1255804,9047497362018
1255850,9047497332015
1255858,9047497232005
1255869,9047497192001
1255883,9047497352017
1255885,9047497352017
1255896,9047497192001
1255918,9047497342016
1255943,9047497252007
1255958,9047497362018
1255962,9047497161998
1255973,9047497372019
1255994,9047497272009
1255995,9047497312013
1256051,9047497312013
1256075,9047497332015
1256085,904749761988
1256135,9047497372019
1256140,9047497332015
1256171,9047497151997
1256222,9047497212003
1256243,9047497342016
1256286,9047497242006
1256288,9047497332015
1256289,9047497322014
1256293,9047497372019
1256329,9047497292011
1256342,9047497322014
1256358,9047497282010
1256376,9047497332015
1256391,9047497302012
1256443,9047497352017
1256448,9047497352017
1256471,9047497121994
1256481,9047497312013
1256494,9047497352017
1256496,9047497312013
1256504,9047497362018
1256517,9047497242006
1256538,9047497332015
1256574,9047497302012
1256575,904749731985
1256578,9047497332015
1256603,9047497111993
1256611,9047497192001
1256649,9047497272009
1256771,9047497262008
1256797,9047497312013
1256804,9047497262008
1256824,9047497352017
1256846,9047497312013
1256884,9047497272009
1256886,9047497372019
1256927,9047497342016
1256947,9047497302012
1256948,9047497202002
1256954,9047497252007
1256962,9047497332015
1256968,9047497332015
1256972,904749771989
1256996,9047497312013
1257011,9047497282010
1257017,9047497282010
1257018,9047497312013
1257030,9047497342016
1257034,9047497262008
1257041,9047497362018
1257048,9047497282010
1257060,9047497322014
1257080,9047497192001
1257107,9047497302012
1257111,9047497242006
1257128,9047497272009
1257141,9047497362018
1257142,9047497332015
1257147,9047497342016
1257187,9047497292011
1257255,9047497332015
1257270,9047497342016
1257275,9047497352017
1257279,9047497322014
1257318,9047497151997
1257330,9047497161998
1257341,9047497322014
1257349,9047497212003
1257363,9047497272009
1257373,9047497352017
1257380,9047497342016
1257410,9047497182000
1257427,9047497292011
1257432,9047497171999
1257458,9047497322014
1257473,9047497352017
1257478,9047497342016
1257484,9047497332015
1257505,9047497262008
1257509,9047497332015
1257531,9047497212003
1257573,9047497192001
1257597,9047497252007
1257642,9047497342016
1257657,9047497262008
1257666,904749781990
1257679,9047497312013
1257693,9047497272009
1257722,9047497262008
1257731,9047497182000
1257756,9047497202002
1257761,9047497322014
1257770,9047497302012
1257778,9047497292011
1257797,9047497352017
1257812,9047497121994
1257838,9047497262008
1257894,9047497322014
1257900,9047497332015
1257912,9047497322014
1257931,9047497342016
1257946,9047497352017
1258003,9047497372019
1258020,9047497332015
1258029,9047497292011
1258065,9047497362018
1258211,9047497192001
1258218,9047497171999
1258231,9047497302012
1258238,9047497332015
1258293,9047497182000
1258295,9047497151997
1258301,9047497182000
1258315,9047497192001
1258356,9047497302012
1258360,9047497352017
1258388,9047497161998
1258407,9047497252007
1258440,9047497362018
1258446,9047497362018
1258458,9047497342016
1258485,9047497151997
1258488,9047497322014
1258490,9047497262008
1258541,9047497312013
1258566,9047497342016
1258573,9047497302012
1258599,9047497332015
1258607,9047497352017
1258615,9047497342016
1258620,9047497292011
1258624,9047497352017
1258632,9047497292011
1258637,9047497312013
1258651,9047497302012
1258668,9047497332015
1258713,9047497312013
1258733,9047497342016
1258740,9047497322014
1258768,9047497292011
1258787,9047497292011
1258804,9047497242006
1258817,9047497322014
1258843,9047497332015
1258864,9047497262008
1258901,9047497352017
1258904,9047497342016
1258924,9047497151997
1258925,9047497302012
1258928,9047497362018
1258940,9047497302012
1258966,9047497352017
1258979,9047497202002
1259107,9047497342016
1259117,9047497232005
1259124,9047497222004
1259137,9047497332015
1259141,9047497262008
1259148,9047497322014
1259163,9047497342016
1259167,9047497232005
1259170,9047497242006
1259198,9047497362018
1259218,9047497302012
1259264,9047497232005
1259266,9047497332015
1259292,9047497192001
1259296,9047497192001
1259308,9047497192001
1259315,9047497232005
1259341,9047497312013
1259343,9047497242006
1259354,9047497182000
1259360,9047497242006
1259414,9047497302012
1259432,9047497302012
1259472,9047497342016
1259475,9047497242006
1259485,9047497362018
1259488,9047497182000
1259530,9047497292011
1259558,9047497192001
1259567,9047497202002
1259582,9047497352017
1259595,9047497101992
1259610,9047497362018
1259631,9047497332015
1259636,9047497242006
1259659,9047497352017
1259669,9047497342016
1259710,9047497252007
1259713,9047497342016
1259734,9047497352017
1259752,9047497332015
1259763,9047497342016
1259769,9047497362018
1259783,9047497242006
1259806,9047497252007
1259810,9047497312013
1259826,9047497362018
1259828,9047497302012
1259838,9047497312013
1259840,9047497352017
1259876,9047497312013
1259886,9047497372019
1259888,9047497352017
1259889,9047497322014
1259898,9047497212003
1259904,9047497352017
1259914,9047497352017
1259924,9047497372019
1259930,9047497332015
1259944,9047497332015
1259947,9047497362018
1259972,9047497332015
1259985,9047497202002
1260002,9047497312013
1260020,9047497282010
1260038,9047497182000
1260040,9047497362018
1260073,9047497242006
1260105,9047497302012
1260110,9047497242006
1260125,9047497352017
1260205,9047497352017
1260227,9047497222004
1260257,9047497292011
1260272,9047497352017
1260288,9047497312013
1260299,9047497262008
1260311,9047497121994
1260319,9047497252007
1260334,9047497372019
1260342,9047497182000
1260350,9047497262008
1260400,9047497282010
1260449,9047497342016
1260479,9047497332015
1260492,9047497131995
1260512,9047497252007
1260520,9047497262008
1260559,9047497171999
1260580,9047497242006
1260600,9047497192001
1260664,9047497171999
1260671,9047497302012
1260697,9047497372019
1260734,9047497352017
1260751,9047497262008
1260782,9047497292011
1260785,9047497312013
1260787,9047497302012
1260793,9047497312013
1260804,9047497322014
1260826,9047497342016
1260878,9047497141996
1260880,9047497302012
1260942,9047497282010
1260945,9047497171999
1260964,9047497192001
1260999,9047497322014
1261020,9047497362018
1261024,9047497352017
1261034,9047497362018
1261064,9047497342016
1261175,9047497202002
1261221,9047497111993
1261222,9047497332015
1261242,9047497332015
1261265,9047497252007
1261275,9047497312013
1261287,9047497171999
1261292,9047497111993
1261312,9047497342016
1261366,9047497332015
1261377,9047497362018
1261384,9047497202002
1261394,904749872014
1261422,904749872014
1261427,904749892017
1261437,904749872014
1261439,904749882016
1261447,9047498102018
1261563,904749882016
1261599,9047499142018
1261952,904750052014
1261997,904750012009
1262781,9047502372008
1263517,9047504282017
1263569,9047504282017
1263810,9047504142003
1264139,9047505152014
1264152,9047505192018
1264157,9047505142013
1264196,9047505142013
1264225,9047505122011
1264231,9047505192018
1264242,9047505172016
1264272,9047505142013
1264276,9047505182017
1264315,904750592008
1264333,9047505172016
1264356,9047505182017
1264365,9047505142013
1264391,9047505182017
1264489,9047505182017
1264558,9047505182017
1264624,9047505162015
1264655,9047505152014
1264684,9047505142013
1264715,9047505192018
1264767,9047505172016
1264877,9047505192018
1264882,9047505182017
1264920,9047505192018
1264924,9047505172016
1265000,9047505122011
1265011,9047505142013
1265023,9047505172016
1265078,9047505162015
1265095,9047505142013
1265102,9047505172016
1265165,9047505172016
1265193,9047505142013
1265203,9047505192018
1265206,9047505152014
1265241,9047505152014
1265255,9047505192018
1265256,9047505122011
1265305,9047505142013
1265342,9047505132012
1265352,9047505182017
1265363,9047505172016
1265376,904750552004
1265463,9047505152014
1265520,9047505162015
1265531,9047505162015
1265576,9047505112010
1265595,9047505192018
1265643,9047505152014
1265648,9047505142013
1265656,9047505182017
1265686,9047505172016
1265709,9047505142013
1265773,904750552004
1265801,9047505152014
1265854,9047505142013
1265893,9047505132012
1265951,9047505172016
1265960,9047505132012
1265992,9047505172016
1265995,9047505162015
1266019,9047505192018
1266029,9047505182017
1266078,9047505152014
1266107,9047505192018
1266171,9047505112010
1266177,9047505172016
1266230,9047505162015
1266234,9047505182017
1266270,9047505192018
1266330,9047505172016
1266350,9047505152014
1266423,9047505192018
1266511,9047505162015
1266515,9047505172016
1266527,9047505182017
1266562,9047505152014
1266584,9047505122011
1267005,9047506202012
1267234,9047507822017
1267405,90475071022018
1267424,9047507402008
1267444,9047507291997
1267574,9047507992018
1267583,9047507502014
1267688,9047507822017
1267704,9047507872017
1267734,9047507392007
1267785,9047507592015
1267813,9047507231991
1267847,9047507392007
1267933,9047507452013
1267951,9047507402008
1267952,9047507782016
1267993,9047507592015
1268073,9047507452013
1268173,9047507792016
1268257,9047507582015
1268323,9047507472014
1268435,9047507812016
1268489,9047507261994
1268502,9047507271995
1268633,9047507452013
1268660,9047507422010
1268741,9047507392007
1268798,9047507902017
1269154,9047507432011
1269255,9047507392007
1269406,9047507362004
1269470,9047507301998
1269532,9047507622015
1269534,9047507842017
1269621,9047507402008
1269638,9047507782016
1269680,9047507852017
1269848,9047507271995
1269958,9047507432011
1270043,9047507602015
1270048,9047507432011
1270369,904751022007
1270408,904751042009
1270429,904751062013
1270513,904751072014
1270515,904751032008
1270555,904751022007
1271266,904751382015
1271434,9047514102016
1271435,904751432009
1271502,9047514122018
1271566,904751552015
1271730,904751622015
1272024,904751972015
1272363,9047522112007
1272365,9047522182014
1272458,904752252001
1272477,904752272003
1272483,9047522182014
1272521,9047522132009
1272563,9047522122008
1272605,9047522202016
1272642,9047522212017
1272644,9047522182014
1272759,9047522202016
1272771,904752242000
1272815,904752242000
1272824,904752242000
1272826,9047522212017
1272839,9047522182014
1272875,9047522192015
1272919,9047522212017
1272988,904752262002
1273005,9047522202016
1273037,9047522202016
1273128,9047522142010
1273149,9047522132009
1273212,904752231999
1273279,9047522102006
1273302,9047522202016
1273321,9047522212017
1273323,9047522122008
1273429,9047522162012
1273438,904752312016
1273463,904752312016
1273466,904752312016
1273474,904752322017
1273499,904752312016
1273518,904752312016
1273527,904752512002
1273540,9047524102009
1273598,9047524182017
1274313,90475273502019
1274317,90475273262017
1274340,90475273202017
1274353,90475272542013
1274412,90475272972016
1274664,90475272332010
1274695,90475273462019
1274702,90475272342010
1274903,90475272352011
1275018,90475272362012
1275063,90475273442018
1275134,90475272352011
1275257,90475272922016
1275307,90475272362012
1275327,90475272362011
1275350,90475273312018
1275380,90475273022016
1275506,90475273132017
1275599,90475272352011
1275668,90475272362012
1275718,90475273472019
1275763,90475273302018
1275844,90475272632014
1275869,90475272342010
1275942,90475272352011
1275951,90475273232017
1276046,90475273332018
1276118,90475272352010
1276156,90475272922016
1276381,90475272872015
1276556,90475273352018
1276574,90475272382013
1276827,90475272362012
1276887,90475272532013
1276962,90475273432018
1277092,90475272332009
1277328,90475272332010
1277397,90475272322009
1277428,90475272362012
1277488,90475273342018
1277509,90475272792015
1277753,90475272332010
1277929,90475272882015
1278312,90475273442018
1278314,90475272602014
1278427,90475273482019
1278500,90475272352011
1278592,90475272352011
1278659,90475272362011
1278678,90475272982016
1278681,90475273372018
1278827,90475272352011
1278917,90475272362011
1278940,90475272362011
1278982,90475273242017
1279389,9047528462016
1279430,9047528222005
1279522,9047528101993
1279576,904752881991
1279729,904752871990
1279835,9047528282011
1279868,904752861989
1280083,904752835-362015
1280149,904752851988
1280198,9047528432016
1280355,9047528312014
1280523,9047528242007
1280559,9047528222005
1280574,9047528252008
1281048,904753032016
1281071,904753152012
1281072,904753292016
1281074,904753122009
1281076,904753162013
1281089,904753172014
1281104,904753292016
1281124,904753132010
1281127,904753172014
1281138,904753122009
1281141,904753172014
1281151,904753122009
1281418,904753372002
1282392,9047533112006
1283407,9047534142012
1283635,9047536112015
1283758,904753692013
1283937,9047537102018
1283961,904753792017
1284029,904753782016
1284191,9047537102018
1284264,9047537102018
1284471,9047538512007
1284679,9047538572013
1284686,9047538532009
1284850,9047538552011
1285208,9047538482004
1285335,9047538512007
1285742,9047538502006
1285762,9047538532009
1285929,9047538612017
1285993,9047538482004
1286331,9047538572013
1286664,9047538582014
1286697,9047540132005
1286786,9047541192011
1286860,9047540132005
1286930,904754021994
1287053,904754071999
1287234,9047540102002
1287243,904754061998
1287323,9047541172009
1287432,9047541142006
1287504,904754082000
1287524,904754082000
1287532,904754092001
1287547,9047540112003
1287577,9047541142006
1287654,9047539232015
1287763,9047539262018
1287770,9047540112003
1287947,9047541192011
1288065,9047541192011
1288090,9047541192011
1288133,904754082000
1288236,9047539232015
1288290,904754021994
1288293,9047540132005
1288406,9047541182010
1288616,9047539242016
1288653,9047541162008
1288720,904754092001
1288783,9047541192011
1288829,9047539272019
1288924,9047541162008
1289034,9047541172009
1289074,9047541202012
1289327,904754051997
1289401,9047541182010
1289601,9047539242016
1289775,9047541212013
1289957,9047539252017
1290651,904754712014
1290700,904754732016
1290717,904754722015
1291897,9047549102005
1292270,904755242006
1292562,904755282010
1292684,904755342016
1292698,904755312013
1292821,904755462017
1292826,904755452016
1292853,904755452016
1292865,904755462017
1292877,904755452016
1292915,904755452016
1292917,904755462017
1292977,904755472018
1293025,904755462017
1293035,904755442015
1293036,904755462017
1293059,904755472018
1293063,904755462017
1293093,904755442015
1293117,904755472018
1293123,904755462017
1293155,904755432014
1293157,904755462017
1293169,904755452016
1293182,904755462017
1293197,904755462017
1293228,904755472018
1293262,904755472018
1293303,904755462017
1293329,904755462017
1293363,904755472018
1293441,904755472018
1293445,904755462017
1293452,904755462017
1293487,904755472018
1293506,904755472018
1293507,904755462017
1293514,904755482019
1293566,904755452016
1293628,904755472018
1293634,904755472018
1293642,904755442015
1293689,904755462017
1293702,904755462017
1293732,904755472018
1293753,904755462017
1293765,904755452016
1293774,904755462017
1293864,904755462017
1293950,904755452016
1294002,904755472018
1294038,904755452016
1294046,904755472018
1294077,904755472018
1294167,904755472018
1294175,904755452016
1294204,904755472018
1294235,904755442015
1294236,904755452016
1294325,9047555162010
1294377,9047555182012
1294503,9047555182012
1296115,9047560412017
1296192,9047560422018
1297524,904756252018
1297588,904756222015
1297611,904756242017
1297741,904756212014
1297746,904756252018
1297784,904756252018
1297803,904756222015
1297903,9047563502016
1298212,9047564261992
1298621,9047564331999
1299657,9047566122018
1299669,904756632009
1299711,904756952012
1299855,9047568322017
1299865,9047569172015
1299912,9047568382018
1300025,904757082018
1300061,904757022012
1300082,904757052015
1300111,904757022012
1300113,904757042014
1300118,904757012011
1300124,904757062016
1300131,904757022011
1300136,904757022011
1300144,904757012011
1300205,904757012011
1300214,904757082018
1300225,904757032013
1300237,904757022012
1300239,904757062016
1300243,904757042014
1300507,9047571322018
1300631,904757172005
1300709,904757172005
1300764,9047571252012
1300837,9047571262012
1300900,9047571182009
1301019,9047571192010
1301691,9047572502008
1301884,9047572422000
1301992,9047572492007
1302075,9047572602018
1302228,9047572512009
1302383,9047572592017
1302649,9047572572015
1302683,9047573372007
1302703,904757391995
1302828,9047573161999
1302893,9047573111996
1302894,9047573232002
1303208,904757391995
1303336,9047573212001
1303436,9047574212015
1303441,9047574172011
1303477,9047574202014
1303480,9047574212015
1303481,9047574192013
1303501,9047574132007
1303503,9047574192013
1303529,9047574202014
1303581,9047574232017
1303666,904757441998
1303708,9047574232017
1303711,904757462000
1303783,9047574192013
1303795,9047574142008
1304905,9047577132009
1305009,9047577102006
1305034,904757721998
1305141,904757842006
1305168,904757842006
1305173,9047578112013
1305234,904757852007
1305265,9047578112013
1305274,9047578112013
1305312,9047578102012
1305320,904757882010
1305351,904757872009
1305361,904757862008
1305377,904757882010
1305447,9047578112013
1305453,9047578112013
1305471,9047578102012
1305482,904757852007
1305505,9047578112013
1305526,9047578122014
1305529,904757842006
1305573,904757822004
1305601,9047578112013
1305651,904757862008
1305657,9047578112013
1305660,9047578122014
1305671,904757862008
1305673,904757862008
1305715,904757912014
1305725,904758012011
1305753,904757912014
1305774,9047581102018
1305815,9047581102018
1305893,904758172015
1305946,904758122010
1305999,9047581102018
1306004,904758122010
1306009,9047581102018
1306051,9047582192015
1306231,9047582142010
1306386,9047582212017
1306416,9047582222018
1306697,9047582152011
1306715,9047582192015
1306815,9047582102006
1306930,9047582192015
1307393,904758320152015
1307396,904758320092009
1307584,9047585232009
1307671,9047585292014
1308002,904758471992
1308017,9047585272012
1308125,9047584131998
1308345,904758622006
1308368,9047586132017
1308394,9047586142018
1308411,904758642008
1308437,904758642008
1308627,904758742018
1308680,904758742018
1308812,904758882016
1308853,9047588102018
1308958,904758892017
1309005,904758882016
1309092,9047588112019
1309100,904758892017
1309101,9047588102018
1309274,9047588102018
1309294,9047588102018
