id,name
9047680,IMPACT Comput. Sci. Eng.
9047681,ECEASST
9047682,IJORIS
9047683,J. Nonlinear Science
9047684,Acta Informatica Pragensia
9047685,J. Complex Networks
9047686,Journal of Computational Chemistry
9047687,Int. J. Auton. Comp.
9047688,IJEOE
9047689,J. Digit. Inf.
9047690,EAI Endorsed Trans. Energy Web
9047691,ACM StandardView
9047692,I. J. Humanoid Robotics
9047693,Revue Internationale de Gomatique
9047694,Int. Arab J. e-Technol.
9047695,Foundations and Trends in Theoretical Computer Science
9047696,Ann. Math. Artif. Intell.
9047697,Int. J. Accounting Inf. Systems
9047698,Applied Artificial Intelligence
9047699,Simulation
9047700,Informatica
9047701,Foundations and Trends in Technology
9047702,IEEE Trans. Network and Service Management
9047703,Applied Ontology
9047704,J. Robotics
9047705,Computers & Security
9047706,RITA
9047707,JDFSL
9047708,Digital Signal Processing
9047709,TOSN
9047710,Advances in Complex Systems
9047711,Neural Networks
9047712,IJMBL
9047713,IJSTM
9047714,FLAP
9047715,Progress in AI
9047716,Knowl. Inf. Syst.
9047717,J. Systems Science & Complexity
9047718,Pattern Recognition Letters
9047719,Operations Research
9047720,Electronic Notes in Discrete Mathematics
9047721,IJ3DIM
9047722,IJCALLT
9047723,IJKSS
9047724,IJART
9047725,JRTPM
9047726,IJSHC
9047727,Technique et Science Informatiques
9047728,IEEE Trans. Automation Science and Engineering
9047729,Journal of Biomedical Informatics
9047730,Comp. and Biomed. Research
9047731,IEEE Concurrency
9047732,IEEE P&DT
9047733,Programming Journal
9047734,Computing
9047735,Real-Time Imaging
9047736,IJSS
9047737,Int. J. Applied Earth Observation and Geoinformation
9047738,Science and Engineering Ethics
9047739,Int. J. Intelligent Transportation Systems Research
9047740,J. Applied Logic
9047741,IJEH
9047742,Scholarpedia
9047743,Information
9047744,IT & People
9047745,RAIRO - Operations Research
9047746,ICST Trans. e-Education e-Learning
9047747,EAI Endorsed Trans. e-Learning
9047748,J. Community Informatics
9047749,Statistical Methods and Applications
9047750,J. Mathematical Cryptology
9047751,IEEE Trans. Services Computing
9047752,EAI Endorsed Trans. Scalable Information Systems
9047753,World Wide Web Journal
9047754,EAI Endorsed Trans. Cloud Systems
9047755,IEEE Comp. Int. Mag.
9047756,J. Open Source Software
9047757,IEEE Robot. Automat. Mag.
9047758,Int. J. Intell. Games & Simulation
9047759,IJCNIS
9047760,Journal of Interconnection Networks
9047761,Int. Journal of Network Management
9047762,IET Image Processing
9047763,Journal of Chemical Information and Modeling
9047764,Journal of Chemical Information and Computer Sciences
9047765,Universal Access in the Information Society
9047766,J. Scheduling
9047767,IJOPCD
9047768,ACM SIGACCESS
9047769,J. London Math. Society
9047770,CLEI Electron. J.
9047771,Visual Informatics
9047772,Integration
9047773,Computer Architecture Letters
9047774,Games
9047775,IJIMAI
9047776,Information Systems Security
9047777,Information Security Journal A Global Perspective
9047778,PsychNology Journal
9047779,Int. J. Neural Syst.
9047780,Appl. Math. Lett.
9047781,IJSSS
9047782,JETC
9047783,International Journal of Shape Modeling
9047784,IEEE Trans. Prof. Communication
9047785,IJDET
9047786,iJAC
9047787,Information Storage and Retrieval
9047788,Inf. Process. Manage.
9047789,J. Graph Algorithms Appl.
9047790,Journal of Documentation
9047791,IEEE Distributed Systems Online
9047792,Neurocomputing
9047793,SIAM J. Numerical Analysis
9047794,Software Quality Journal
9047795,Computers & OR
9047796,IJIDSS
9047797,IJACDT
9047798,J. Electrical and Computer Engineering
9047799,Adaptive Behaviour
9047800,Finite Fields and Their Applications
9047801,Concurrent Engineering R&A
9047802,ACM Trans. Economics and Comput.
9047803,Computer Methods and Programs in Biomedicine
9047804,Briefings in Bioinformatics
9047805,SIGHIT Record
9047806,L'OBJET
9047807,I. J. Speech Technology
9047808,Soft Comput.
9047809,IEEE Trans. Comput. Social Systems
9047810,IJRSDA
9047811,Comput. Geom.
9047812,I. J. Law and Information Technology
9047813,J. Intelligent Systems
9047814,Systems and Computers in Japan
9047815,Business & Information Systems Engineering
9047816,Int. J. Found. Comput. Sci.
9047817,Information Economics and Policy
9047818,J. Signal and Information Processing
9047819,IJCrC
9047820,Praxis der Informationsverarbeitung und Kommunikation
9047821,MIS Quarterly Executive
9047822,IEEE Trans. Multimedia
9047823,Public Library Quarterly
9047824,ITSSA
9047825,AStA Wirtschafts- und Sozialstatistisches Archiv
9047826,I. J. Computational Biology and Drug Design
9047827,I. J.  Computational Biology and Drug Design
9047828,IJDC
9047829,J. Comput. Science
9047830,Theory in Biosciences
9047831,SIGLOG News
9047832,IEEE Trans. Software Eng.
9047833,Intelligent Information Management
9047834,Advances in Adaptive Data Analysis
9047835,Proceedings of the IEEE
9047836,International Journal of Parallel Programming
9047837,IEEE Geosci. Remote Sensing Lett.
9047838,J. Comput. Meth. in Science and Engineering
9047839,Wireless Sensor Network
9047840,Neural Computation
9047841,Control and Cybernetics
9047842,J. Big Data
9047843,IJDE
9047844,Elektronische Informationsverarbeitung und Kybernetik
9047845,Educational Technology & Society
9047846,TPLP
9047847,Decision Sciences
9047848,Electronic Commerce Research
9047849,Int. J. Math. Mathematical Sciences
9047850,Parallel Computing
9047851,J. Cybersecurity
9047852,TOPC
9047853,J. Artif. Intell. Soft Comput. Res.
9047854,IJMDEM
9047855,J. Solid-State Circuits
9047856,Pattern Anal. Appl.
9047857,J. Comp. Assisted Learning
9047858,Artif. Intell. Rev.
9047859,Biosystems
9047860,Journal of Applied Non-Classical Logics
9047861,Auton. Robots
9047862,J. Informetrics
9047863,Electr. J. Comb.
9047864,J. Cloud Computing
9047865,IJAL
9047866,New Media & Society
9047867,Journal of Machine Learning Research
9047868,Genomics
9047869,IJSSC
9047870,Computing Systems
9047871,Source Code for Biology and Medicine
9047872,IJMIS
9047873,SIGBED Review
9047874,IJEBM
9047875,International Journal of Computer Vision
9047876,Journal of Automata
9047877,JLCL
9047878,LDV Forum
9047879,Systems Engineering
9047880,CASM
9047881,Physical Communication
9047882,IJCSM
9047883,Computat. and Visualiz. in Science
9047884,Int. J. Intell. Syst.
9047885,Information and Organization
9047886,IJSSOE
9047887,IEEE/ACM Trans. Comput. Biology Bioinform.
9047888,Evolving Systems
9047889,IJIMR
9047890,Sig. Proc. Image Comm.
9047891,Software and System Modeling
9047892,Trans. Data Hiding and Multimedia Security
9047893,Wirtschaftsinformatik
9047894,Angewandte Informatik
9047895,IJISMD
9047896,J. Bioinformatics and Computational Biology
9047897,Digital Humanities Quarterly
9047898,IJMIC
9047899,JORS
9047900,INFOR
9047901,J. Information Telecommunication
9047902,Science
9047903,PeerJ Computer Science
9047904,Computers & Geosciences
9047905,J. Digital Forensic Practice
9047906,IEEE Trans. Circuits Syst. Video Techn.
9047907,EURASIP J. Image and Video Processing
9047908,IEEE Trans. Cogn. Comm. & Networking
9047909,IEICE Transactions
9047910,IJKSR
9047911,IJSEUS
9047912,Int. J. Web Eng. Technol.
9047913,J. Systems & Control Engineering
9047914,IJCCBS
9047915,ITC
9047916,J. Vis. Lang. Comput.
9047917,JILSA
9047918,IEEE Computer
9047919,Microprocessors and Microsystems - Embedded Hardware Design
9047920,Microprocessors
9047921,Microprocessors and Microsystems
9047922,Journal of Decision Systems
9047923,J. Philosophical Logic
9047924,Kybernetes
9047925,TKDD
9047926,Journal of Chinese Language and Computing
9047927,Int. J. of Asian Lang. Proc.
9047928,SIAM J. Imaging Sciences
9047929,IET Circuits
9047930,Adv. Artificial Neural Systems
9047931,Networks
9047932,Algorithmic Finance
9047933,Advanced Engineering Informatics
9047934,AI in Engineering
9047935,Trans. MLDM
9047936,Ann. Software Eng.
9047937,Nord. J. Comput.
9047938,OJCC
9047939,Database
9047940,Scalable Computing Practice and Experience
9047941,IJWBC
9047942,IJVR
9047943,Automatic Control and Computer Sciences
9047944,Journal of Computational Neuroscience
9047945,IEEE Trans. Pattern Anal. Mach. Intell.
9047946,TOCT
9047947,IJSODIT
9047948,Bio-Algorithms and Med-Systems
9047949,Speech Communication
9047950,IJAOM
9047951,Program
9047952,Data Techn. and Applic.
9047953,Applied Network Science
9047954,Autonomous Agents and Multi-Agent Systems
9047955,BMC Genomics
9047956,VLSI Signal Processing
9047957,Signal Processing Systems
9047958,Appl. Comput. Syst.
9047959,Fundam. Inform.
9047960,IJSDIR
9047961,IJCVR
9047962,Multiscale Modeling & Simulation
9047963,Austr. J. Intelligent Information Processing Systems
9047964,J. Network Syst. Manage.
9047965,OJIOT
9047966,J. Clinical Bioinformatics
9047967,IJCAC
9047968,GI Datenbank Rundbrief
9047969,Datenbank Rundbrief
9047970,BJET
9047971,Oper. Res. Lett.
9047972,Adv. Bioinformatics
9047973,IJITPM
9047974,Int. J. Comput. Math.
9047975,Intelligenza Artificiale
9047976,IJSSMET
9047977,Trans. Mass-Data Analysis of Images and Signals
9047978,IJIIT
9047979,Traitement du Signal
9047980,Foundations and Trends in Stochastic Systems
9047981,IJEB
9047982,Int. J. Comp. Sci. Sport
9047983,Security Informatics
9047984,International Journal of Computational Engineering Science
9047985,Comput. Graph. Forum
9047986,Cognitive Science
9047987,Open Computer Science
9047988,Central Europ. J. Computer Science
9047989,Asymptotic Analysis
9047990,TiiS
9047991,Social Netw. Analys. Mining
9047992,IJCC
9047993,ICGA Journal
9047994,EAI Endorsed Trans. Context-aware Syst. & Appl.
9047995,EURASIP J. Bioinformatics and Systems Biology
9047996,Comput. Syst. Sci. Eng.
9047997,Int. J. Systems Assurance Engineering and Management
9047998,Entropy
9047999,J. Autom. Reasoning
9048000,J. Network and Computer Applications
9048001,Foundations and Trends in Systems and Control
9048002,Cognitive Computation
9048003,OMICS
9048004,International Journal of Computational Intelligence and Applications
9048005,Math. Oper. Res.
9048006,Signal
9048007,Computers and Artificial Intelligence
9048008,Computing and Informatics
9048009,Des. Codes Cryptography
9048010,IEEE Technol. Soc. Mag.
9048011,IT for Development
9048012,IJCAT
9048013,Trans. GIS
9048014,Ethics Inf. Technol.
9048015,Information Visualization
9048016,ACM Trans. Comput. Syst.
9048017,IJWIN
9048018,INFORMS Trans. Education
9048019,HMD - Praxis Wirtschaftsinform.
9048020,J. Log. Program.
9048021,J. Log. Algebr. Program.
9048022,J. Log. Algebr. Meth. Program.
9048023,Computer Communication Review
9048024,Automatisierungstechnik
9048025,IET Computer Vision
9048026,Natural Language Engineering
9048027,Inf. Res.
9048028,Computer Speech & Language
9048029,EURASIP J. Emb. Sys.
9048030,Information
9048031,Quantum Information & Computation
9048032,Information Technology and Management
9048033,TGCN
9048034,PACMPL
9048035,IBIS
9048036,Combinatorics
9048037,IJMNO
9048038,Manufacturing & Service Operations Management
9048039,IJMHCI
9048040,Adv. Software Engineering
9048041,IJCNS
9048042,JNC
9048043,Robotics and Autonomous Systems
9048044,Theor. Comput. Sci.
9048045,IJWLTT
9048046,IEEE Personal Commun.
9048047,IEEE Wireless Commun.
9048048,Computacin y Sistemas
9048049,IJSE
9048050,J. Applied Probability
9048051,Ars Math. Contemp.
9048052,JAISE
9048053,J. Inf.
9048054,ACM Trans. Design Autom. Electr. Syst.
9048055,Digital Investigation
9048056,Appl. Intell.
9048057,Embedded Systems Letters
9048058,I. J. Social Robotics
9048059,Journal of Functional and Logic Programming
9048060,ACM SIGMOD Anthology
9048061,Int. J. Biomedical Imaging
9048062,IJHPCA
9048063,IJATS
9048064,IJVCSN
9048065,PACMHCI
9048066,Wireless Personal Communications
9048067,EAI Endorsed Trans. Cognitive Communications
9048068,J. Electronic Testing
9048069,IEEE Trans. on CAD of Integrated Circuits and Systems
9048070,Int. J. Control
9048071,J. Systems and IT
9048072,IJFSA
9048073,NetMAHIB
9048074,Open Syst. Inform. Dynam.
9048075,Intelligent Service Robotics
9048076,Numerical Algorithms
9048077,Behaviour & IT
9048078,IET Communications
9048079,ACM Trans. Embedded Comput. Syst.
9048080,Periodica Mathematica Hungarica
9048081,Engineering Letters
9048082,Data Quality Journal
9048083,Mech. Translat. & Comp. Linguistics
9048084,Mechanical Translation
9048085,Computers & Electrical Engineering
9048086,TAAS
9048087,I. J. Circuit Theory and Applications
9048088,Computers & Education
9048089,Data Science Journal
9048090,Cyberpsy.
9048091,Library Hi Tech
9048092,NeuroImage
9048093,Autom. Softw. Eng.
9048094,Contributions to Discrete Mathematics
9048095,Int. J. Imaging Systems and Technology
9048096,IJUWBCS
9048097,IJCSE
9048098,Formal Asp. Comput.
9048099,Nature
9048100,Advances in Computing Research
9048101,Risk and Decision Analysis
9048102,New Generation Comput.
9048103,Experimental Mathematics
9048104,IJAIP
9048105,J. Software Eng. R&D
9048106,Int. J. Electronic Commerce
9048107,Acta Cybern.
9048108,Front. Digital Humanities
9048109,IJAOSE
9048110,Education for Information
9048111,BIT
9048112,IJHAC
9048113,History and Computing
9048114,International Journal of Uncertainty
9048115,Comp. Applic. in Engineering Education
9048116,IJCNDS
9048117,IEEE Trans. Biomed. Engineering
9048118,Paladyn
9048119,IJEHMC
9048120,IJIDE
9048121,J. Intellig. Transport. Systems
9048122,KES Journal
9048123,IEEE Trans. Engineering Management
9048124,Mach. Vis. Appl.
9048125,Int. J. Communication Systems
9048126,Journal of Visualization and Computer Animation
9048127,Intelligent Automation & Soft Computing
9048128,Distributed Computing
9048129,Order
9048130,Inf. Syst. E-Business Management
9048131,IJITWE
9048132,Internet Mathematics
9048133,Journal of Object Technology
9048134,IEEE Trans. Vis. Comput. Graph.
9048135,IEEE Computer Graphics and Applications
9048136,J. Simulation
9048137,Reports on Mathematical Logic
9048138,IJIRA
9048139,Arch. Math. Log.
9048140,Informatik Spektrum
9048141,EURO J. Computational Optimization
9048142,Computers and the Humanities
9048143,Language Resources and Evaluation
9048144,Machine Learning
9048145,Automation and Remote Control
9048146,PeerJ PrePrints
9048147,Appl. Soft Comput.
9048148,TOMPECS
9048149,Space Communications
9048150,J. Adv. Inf. Fusion
9048151,IJIIDS
9048152,J. Location Based Services
9048153,Aslib J. Inf. Manag.
9048154,Aslib Proceedings
9048155,J. Inf. Sci. Eng.
9048156,SIGARCH Computer Architecture News
9048157,Techn. Analysis & Strat. Manag.
9048158,J. Num. Math.
9048159,Computer Vision and Image Understanding
9048160,CVGIP Image Understanding
9048161,European Transactions on Telecommunications
9048162,Trans. Emerging Telecommunications Technologies
9048163,Int. J. Systems Science
9048164,ACM Trans. Graph.
9048165,Wiley Interdiscip. Rev. Data Min. Knowl. Discov.
9048166,it - Information Technology
9048167,Elektronische Rechenanlagen
9048168,it - Informationstechnik
9048169,it+ti - Informationstechnik und Technische Informatik
9048170,iJES
9048171,Scientometrics
9048172,JCP
9048173,Industrial Management and Data Systems
9048174,HCIS
9048175,J. Economic Theory
9048176,Cryptologia
9048177,IJRFITA
9048178,J. Instruction-Level Parallelism
9048179,IJAGR
9048180,IJDSST
9048181,Pattern Recognition
9048182,IEEE Communications Letters
9048183,J. Comb. Theory
9048184,J. Comb. Theory
9048185,Cognition
9048186,Cryptography
9048187,J. of IT & Tourism
9048188,Foundations and Trends in Networking
9048189,Discrete Mathematics
9048190,Ledger
9048191,DATA BASE
9048192,IEEE Trans. Instrumentation and Measurement
9048193,Applied Comp. Int. Soft Computing
9048194,IJITBAG
9048195,Inf. Services and Use
9048196,ACM SIGSOFT Software Engineering Notes
9048197,J. Braz. Comp. Soc.
9048198,Int. J. Comput. Linguistics Appl.
9048199,South African Computer Journal
9048200,J. Global Optimization
9048201,ACM Trans. Management Inf. Syst.
9048202,Datenbank-Spektrum
9048203,Mathematical Social Sciences
9048204,IET Signal Processing
9048205,IJISTA
9048206,J. of Management Information Systems
9048207,IJeC
9048208,SIGecom Exchanges
9048209,Trans. Edutainment
9048210,T. Edutainment
9048211,Transactions on Pattern Languages of Programming
9048212,ACM Trans. Asian & Low-Resource Lang. Inf. Process.
9048213,ACM Trans. Asian Lang. Inf. Process.
9048214,Pervasive and Mobile Computing
9048215,Ubiquity
9048216,ACM Trans. Math. Softw.
9048217,ACM Trans. Internet Techn.
9048218,Journal of Information
9048219,European Journal of Law and Technology
9048220,Mobile Computing and Communications Review
9048221,GetMobile
9048222,SIAM J. Comput.
9048223,PVLDB
9048224,J. Sensor and Actuator Networks
9048225,IJEIS
9048226,Eng. Comput. (Lond.)
9048227,Queueing Syst.
9048228,J. Cryptographic Engineering
9048229,J. Cellular Automata
9048230,J. Franklin Institute
9048231,IJABIM
9048232,Computers and Electronics in Agriculture
9048233,IEEE Trans. Robotics
9048234,IEEE Trans. Robotics and Automation
9048235,IEEE J. Robotics and Automation
9048236,Production Engineering
9048237,Knowledge Eng. Review
9048238,J. Electronic Imaging
9048239,Adv. Model. and Simul. in Eng. Sciences
9048240,Complexity
9048241,T-MBMC
9048242,i-com
9048243,Evolutionary Computation
9048244,Int. J. Semantic Computing
9048245,Information & Software Technology
9048246,Vietnam J. Computer Science
9048247,Computational Intelligence
9048248,IJGHPC
9048249,J. Prog. Lang.
9048250,Rundbrief der GI-Fachgruppe 5.10 Informationssystem-Architekturen
9048251,J. UCS
9048252,ISSE
9048253,Int. Syst. in Accounting
9048254,ACM Journal of Computer Documentation
9048255,IJDLDC
9048256,ACM Trans. Program. Lang. Syst.
9048257,Computers
9048258,International Journal of Man-Machine Studies
9048259,Int. J. Hum.-Comput. Stud.
9048260,IBM Research Report
9048261,IBM Research Report
9048262,Technical Rep. UKSC 0060
9048263,Hydrology and Earth System Sciences
9048264,Compulog Newsletter
9048265,technical Report 248
9048266,GTE Laboratories Incorporated
9048267,Technical Report
9048268,IWBS Report
9048269,LILOG-Report
9048270,LILOG-Memo
9048271,IBM Publication
9048272,Digital System Research Center Report
9048273,Universitt Trier
9048274,meltdownattack.com
9048275,University of California at Berkeley
9048276,ANSI X3H2
9048277,ANSI X2H2
