Paper,ConferenceEdition
15598,90467131152018
15618,9046713872016
15625,9046713462009
15711,9046713502010
15722,9046713482009
15730,90467131092018
15739,9046715312016
15757,9046715362018
15767,9046715132007
15771,9046715322016
15785,9046715372019
15786,9046715282014
15820,9046715302015
15832,9046715142007
15841,9046715262013
15954,9046715342017
15957,9046720222014
15986,9046720202014
15991,9046720242015
16041,9046720182013
16043,904672092010
16045,904672012005
16067,9046720402018
16115,9046720192013
16135,9046720322016
16189,904672032007
16191,9046720212014
16219,9046720432019
16232,904672052008
16248,904672022006
16261,9046720152012
16264,9046720252015
16266,9046720382017
16289,9046720122011
16368,9046721282004
16375,9046722202016
16383,904672242000
16450,9046722152011
16473,9046722172013
16486,9046722222018
16515,904672352010
16529,904672542001
16552,9046725112008
16593,9046725102007
16662,904672592006
16668,904672511998
16706,904672582005
16730,9046724202017
16761,904672521999
16798,904672562003
16848,904672552002
16862,9046725102008
16897,9046725122008
16938,9046725132010
16972,9046725172014
16980,904672642010
17031,9046726122018
17032,904672652011
17132,904672692015
17157,904672672013
17189,904672632009
17207,904672662012
17210,904672742018
17219,904672712015
17283,9046729612006
17288,9046729702015
17320,9046729732018
17336,9046729642009
17360,9046729632008
17398,9046729622007
17411,9046729541999
17414,9046729722017
17444,9046731302018
17455,904673232002
17461,904673272006
17478,904673352014
17529,9046735192016
17539,9046735302018
17548,9046736102002
17597,9046736152007
17611,9046736122004
17647,904673692001
17685,904673661998
17686,9046736162008
17804,9046736202012
17869,904673631995
17942,9046736182010
17996,9046736172009
18069,9046736222014
18088,9046736132005
18108,9046736142006
18119,9046736252017
18137,9046736242016
18212,9046736232015
18240,904673611993
18241,9046736212013
18259,9046736262018
18264,9046736112003
18270,9046736272019
18309,9046736192011
18385,904673621994
18388,904673671999
18421,904673682000
18434,904673651997
18517,904673641996
18523,9046737302018
18536,9046737262014
18561,9046737292017
18588,9046737282016
18604,904674172002
18630,9046741102005
18668,904674162001
18686,904674252011
18710,9046743312014
18758,9046743362019
18797,904674361989
18906,9046743282011
19018,9046743302013
19043,9046743222005
19191,9046743352018
19481,904674381991
19491,904674391992
19523,904674371990
19547,9046744112015
19548,9046745302013
19672,9046745342017
19698,9046745262009
19700,9046745322015
19811,9046745352018
19826,9046745272010
19835,904674782014
19900,9046747102016
19901,9046747122018
19921,904674762012
19962,9046747132019
20014,9046747112017
20087,904674792015
20091,904674772013
20125,904674752011
20132,904674922009
20133,904674962013
20134,904674942011
20195,904674982015
20197,904674952012
20215,9046750582003
20216,9046750682008
20238,9046750752012
20262,9046750732011
20269,9046750512000
20289,904675491997
20353,904675554-I2007
20374,904675557-II2010
20396,904675562-II2015
20445,904675551-I2004
20578,904675560-II2013
20606,904675563-I2016
20611,904675558-II2011
20614,904675558-I2011
20622,904675556-I2009
20725,904675561-I2014
20728,904675557-I2010
20737,904675564-II2017
20754,904675566-I2019
20796,904675560-I2013
20822,904675555-II2008
20855,904675559-II2012
20867,904675562-I2015
20868,904675565-II2018
20957,904675565-I2018
20985,904675552-II2005
21064,904675553-I2006
21103,904675564-I2017
21122,904675554-II2007
21139,904675563-II2016
21143,904675559-I2012
21154,904675552-I2005
21160,904675553-II2006
21263,904675556-II2009
21293,904675672013
21315,904675632009
21316,904675612007
21334,904675642010
21415,904675622008
21425,904675652011
21427,9046756122018
21433,904675682014
21520,9046757102003
21555,9046758312011
21598,904675962012
21619,904675922008
21663,904675942010
21709,9046760172003
21714,9046760322018
21743,9046760292015
21773,9046760272013
21785,9046760312017
21811,9046760282014
21837,9046760252011
21987,9046760232009
22042,904676122004
22125,904676142007
22128,904676322011
22164,904676312010
22213,9046764112017
22245,904676531996
22295,9046765132006
22337,9046765252018
22364,9046765232016
22548,9046765162009
22560,90467652005
22568,9046765182011
22611,904676521995
22622,904676551998
22642,904676511994
22696,9046765202013
22699,90467668-S2017
22800,904676642013
22833,904676672016
22836,904676742017
22863,904677042013
22864,904677082017
22871,904677062015
22969,904677072016
22979,904677092018
22996,904677052014
23033,904677022011
23054,904677032012
23183,9046770102019
23236,904677012010
23277,9046771282001
23297,9046771402012
23300,9046771251997
23327,9046771422015
23329,9046771452017
23382,9046771392011
23388,9046771422014
23469,9046771432015
23512,9046771462018
23558,9046771372009
23598,9046771402013
23621,904677222018
23627,904677212017
23652,904677312006
23658,904677642014
24295,9046778182016
24393,9046778202018
24414,9046778112009
24743,9046778142012
24768,9046778172015
24780,9046778132011
24842,9046778162014
24849,9046778192017
24855,9046778152013
24910,9046778102008
24916,904677892007
25276,9046778122010
25393,904677882006
25441,9046779112002
25657,904677921994
25761,904677961998
25808,904677982000
26128,904677931995
26280,9046779132003
26288,9046779182005
26293,9046779342016
26451,9046779312013
26827,9046779352017
26871,9046779142003
26950,9046780112018
27117,904678262018
27351,9046783472015
27511,9046784102008
27598,9046784162014
27600,9046784172016
27725,904678431999
27899,904678520172017
27906,904678520182018
27916,904678622014
27943,9046787142018
27951,904678742008
28071,904678992018
28148,904678952014
28160,904678972016
28243,904678912005
28821,904678982017
29128,904678912009
29872,904678922011
29876,9046790562019
30037,9046790382014
30067,9046790522018
30088,90467911552019
30112,90467911422017
30115,90467911382017
30141,9046791812011
30194,9046791792009
30196,90467911462018
30227,9046791782008
30362,90467911322017
30418,9046791862012
30432,9046791812010
30433,9046792212011
30450,9046792242014
30512,9046792182008
30532,904679432011
30566,904679422010
30574,904679472015
30632,904679412009
30665,904679482016
30848,9046795282013
30862,9046795292014
30889,9046795302015
30893,9046795222007
32428,9046795202005
32433,9046795212006
32452,9046795242009
32514,9046795272012
32571,9046795312016
32628,9046797502001
32663,9046797632014
32713,9046797642015
32716,9046797441995
32768,9046797381989
32792,9046797652016
32794,9046797371988
32817,9046797331984
32827,9046797532004
33502,9046797361987
33557,9046797492000
33580,9046797622013
33971,9046797512002
34771,9046797582009
34813,9046797431994
34900,9046797562007
34953,9046797662017
35043,9046797612012
35056,9046797311982
35162,9046797602011
35182,9046797572008
35212,9046797391990
35268,9046797481999
35299,9046797451996
35412,9046797411992
35425,9046797461997
35434,9046797471998
35442,9046797341985
35446,9046797592010
35475,9046797522003
35476,9046797421993
35497,9046797672018
35500,9046797542005
35504,9046797552006
35520,9046797351986
35529,9046797682019
35659,9046797231974
35680,9046797401991
35682,9046801151990
35721,9046801672007
35724,9046801482003
35740,9046801442002
35825,9046801422002
35948,9046802242014
35982,9046802142004
36039,904680382016
36062,904680392017
36085,9046803102018
36104,904680372015
36110,904680362014
36140,904680322010
36154,9046803112019
36186,904680352013
36188,904680422012
36216,904680620072007
36235,904680619991999
36294,904680619981998
36309,904680620012001
36316,904680620022002
36326,9046807282012
36349,9046807101998
36385,9046807312015
36425,9046808352010
36454,9046808192002
36502,9046808282007
36517,9046808432014
36528,9046808302008
36549,9046808322009
36576,9046808152000
36584,9046808382012
36599,9046808202003
36602,9046808111998
36603,9046808372011
36615,9046808442015
36617,9046808522019
36645,9046808262006
36713,9046808232004
36733,904680952015
36738,904680962016
36767,904680912011
36805,904680972017
36813,9046811252017
36831,9046811262018
36838,9046811132005
36847,9046811222014
36864,9046811122004
36890,9046811242016
36909,9046811232015
36912,9046811152007
36922,9046811182010
36931,9046811202012
36947,9046811142006
36948,9046811212013
36971,904681171999
37080,904681131995
37091,9046811192011
37101,9046811102002
37113,904681192001
37128,9046811112003
37132,9046811162008
37148,904681161998
37168,904681182000
37182,9046811172009
37224,9046812491994
37229,90468122112013
37234,90468122282015
37249,90468122572017
37252,90468121842011
37260,90468122692018
37262,90468121912011
37269,90468121062001
37298,90468122402016
37301,90468121682009
37334,90468122522017
37365,90468122582017
37372,90468122382016
37377,90468122082013
37406,90468122172014
37412,90468122422016
37420,90468122232014
37439,9046813202013
37444,9046815252017
37454,904681652010
37455,9046818442014
37461,9046818332003
37490,9046818412011
37518,9046818462016
37542,9046819322018
37576,9046819292015
37580,9046819302016
37614,9046819312017
37632,9046819242010
37653,9046819282014
37663,9046819262012
37679,9046819202006
37682,9046819192005
37687,9046819332018
37703,9046819272013
37715,9046819182004
37723,9046819252011
37747,9046819222008
37748,9046819212007
37751,9046819232009
37764,9046820272017
37810,9046820232013
37815,9046820152005
37829,9046820202010
37845,904682051995
37856,9046820242014
37857,9046820252015
37934,9046822182010
37959,9046822262018
37981,9046822222014
38027,9046824512013
38039,9046824502012
38078,9046824562018
38096,9046824522014
38112,9046824432005
38117,9046824432004
38121,9046824542016
38124,9046824462007
38139,904682562010
38150,9046825142018
38187,904682592013
38262,904682512005
38271,9046825102014
38320,904682552009
38331,9046825112015
38332,904682672015
38346,904682662014
38406,9046827322018
38432,9046827252011
38433,9046827152001
38436,9046828172007
38495,90468301092018
38507,9046830332009
38509,9046830342010
38517,9046830272003
38522,9046830992017
38524,90468301042017
38558,9046830552013
38569,9046830962017
38574,9046830932016
